파워짐헬스크럽,"서울특별시 서초구 서초대로77길 25  (서초동,경일빌딩 7층)"
슈나이더 짐,서울특별시 송파구 동남로 110 (문정동)
한성기업(주)르네상스휘트니스클럽,서울특별시 송파구 오금로 307 (오금동)
노블레스헬스,"서울특별시 양천구 목동동로 59 (신정동,로얄프라자9층)"
아이러브 휘트니스,"서울특별시 서초구 강남대로 27 (양재동,농수산물유통공사 지하1층)"
골드헬스,서울특별시 금천구 시흥대로50길 12-6  (시흥동)
홍크짐,"서울특별시 양천구 신목로2길 7, 지층01호 (신정동)"
스마일 헬스,"서울특별시 성북구 종암로 83  (종암동,4층)"
M 휘트니스,"서울특별시 강북구 도봉로 167, 5층 (미아동)"
PHOENIX 휘트니스 클럽,"서울특별시 관악구 호암로22길 83, 1, 2층 (신림동)"
짐스휘트니스,"서울특별시 송파구 가락로 168 (송파동, 부성빌딩)"
매일헬쓰클럽,"서울특별시 은평구 응암로 292, 선주빌딩 (응암동)"
GT휘트니스클럽,서울특별시 영등포구 영신로19길 23 (영등포동)
파워헬스클럽,"서울특별시 동대문구 장한로 173 (장안동,(2층))"
업투 목동점,"서울특별시 양천구 목동동로 55 (신정동,밀레니엄프라자10층)"
테크노휘트니스클럽,테크노휘트니스클럽
업타운 휘트니스,"서울특별시 성북구 보문로34길 69, 201호 (동선동1가,창천빌딩)"
TABFIT,"서울특별시 강남구 역삼로 458, 지하1층 (대치동, 영미빌딩)"
코리아짐,"서울특별시 서초구 서운로 142-4  (서초동,3층)"
에스에스헬스장,서울특별시 은평구 갈현로 260 (갈현동)
브라이언박 트레이닝,"서울특별시 은평구 응암로22길 22-1, 합도빌딩 4층 (응암동)"
제이디아이스포츠,"서울특별시 서초구 반포대로12길 10  (서초동,4층)"
미 앤 스포츠,"서울특별시 강서구 강서로 297, 3층 (내발산동)"
클래스짐 개봉점,서울특별시 구로구 개봉로19길 39 (개봉동)
휘슬러휘트니스(112),"서울특별시 강남구 강남대로 310 (역삼동,유니온빌딩 지하2층)"
이코리아스포츠,"서울특별시 중랑구 망우로 454, 3층 (망우동)"
방배휘트니스클럽,"서울특별시 서초구 동광로 69  (방배동,2층)"
마크짐 휘트니스,"서울특별시 동작구 서달로 166, 우리은행흑석동지점 5층 (흑석동)"
YY헬스센타,"서울특별시 노원구 노원로34길 72 (상계동,동서상가 2층)"
광혜헬스스포츠센타(111),서울특별시 강남구 영동대로86길 9  (대치동)
엔짐,"서울특별시 동작구 양녕로26길 27, 5층 (상도동, 삼익아파트)"
동국스포츠,서울특별시 용산구 원효로 55 (원효로4가)
현민헬스클럽,"서울특별시 송파구 동남로18길 45 (가락동, 용진빌딩)"
VIP프린스휘트니스,"서울특별시 관악구 난우길 2, 프린스빌딩 5층 (신림동)"
동호헬스,서울특별시 성북구 돌곶이로22가길 27  (석관동)
"자마이카 휘트니스, 필라테스 화곡점","서울특별시 강서구 화곡로 161, 대성빌딩 5층,6층 일부호 (화곡동)"
테크노헬스,"서울특별시 은평구 은평로 188, 왕자빌딩 (응암동)"
제우스짐,"서울특별시 은평구 연서로 295-1, 파란채빌딩 2,3층 (불광동)"
보령헬스피아,서울특별시 종로구 창경궁로 136 (원남동)
온리유휘트니스,"서울특별시 구로구 구로중앙로 174 (구로동, 구로역)"
파고다,서울특별시 종로구 수표로26길 12 (낙원동)
광진휘트니스,"서울특별시 광진구 뚝섬로 489, 2층 (자양동, 노룬산시장)"
메트로휘트니스센타,"서울특별시 은평구 통일로 856, 메트로타워 6층 (불광동)"
뉴금천휘트니스,서울특별시 금천구 독산로54길 32 (시흥동)
마크짐 망원점,"서울특별시 마포구 월드컵로 155, 6층 (망원동)"
시티짐 금천점,"서울특별시 금천구 금하로 705, 5층 (시흥동)"
비나이더 상계점,"서울특별시 노원구 동일로 1383, 지하층 (상계동, 상계주공3단지아파트)"
백세청춘,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 5층 (신천동)"
아인스포츠 불광스포렉스,"서울특별시 은평구 불광로 51, 불광초등학교 (불광동)"
에센휘트니스 크럽,"서울특별시 동대문구 장안벚꽃로 107, 상가동 311호 (장안동, 장안현대홈타운)"
TLC휘트니스센타,"서울특별시 성북구 오패산로 25, 5,6층 (하월곡동)"
비스코헬스케어,"서울특별시 광진구 아차산로70길 62, 지하1,2층 (광장동, 광장현대3단지아파트)"
이강섭헬스클리닉,서울특별시 양천구 남부순환로 431 (신월동)
마이짐,"서울특별시 강서구 양천로 461, 6층 (가양동)"
파나마 헬스클럽,"서울특별시 광진구 자양로26길 31, 2층 201호 (구의동, 명진빌딩)"
준휘트니스클럽,"서울특별시 마포구 월드컵북로12안길 68, 3층 (성산동, 신한빌딩)"
아이언짐 방학점,"서울특별시 도봉구 도봉로 719, 지층 (방학동)"
올리브짐 동선동점,"서울특별시 성북구 동소문로 118 (동선동1가,플라밍스타워B2)"
발리토탈휘트니스,"서울특별시 서초구 강남대로61길 23  (서초동,오르시떼빌딩 2층)"
JS 휘트니스,"서울특별시 양천구 지양로 22  (신월동,지층)"
탑,"서울특별시 서초구 효령로53길 45  (서초동,서초이오빌 지1층)"
아차산헬스클럽,서울특별시 광진구 자양로 312  (구의동)
테크노 헬스,"서울특별시 은평구 통일로 751, 3층 (대조동)"
루나짐 신월점,"서울특별시 양천구 가로공원로 121, 4층 (신월동)"
재단법인국민체력센터,서울특별시 송파구 올림픽로 424 (방이동)
헬스파크,"서울특별시 동대문구 이문로 73, 2층 (이문동)"
소울 휘트니스,"서울특별시 강북구 오패산로30길 10 (미아동,대지빌딩 4층)"
휘트니스클럽아로마,"서울특별시 양천구 목동동로 257 (목동,하이페리온(8층))"
스타존 휘트니스,"서울특별시 양천구 지양로 87  (신월동,백마빌딩4층)"
Aja sporex,Aja sporex
그린헬스,서울특별시 금천구 가산로 85 (독산동)
명동사우나헬스,명동사우나헬스
유니온헬스,"서울특별시 양천구 신정로 312 (신정동, 뉴프라자(501-1호~504호))"
우정휘트니스클럽,서울특별시 송파구 오금로 519 (거여동)
상아(129),"서울특별시 강남구 강남대로 354  (역삼동,한국빌딩 지하2층)"
듀발휘트니스,"서울특별시 서초구 서초중앙로22길 25  (서초동,서초리시온 2층)"
헬스119,서울특별시 관악구 광신길 104 (신림동)
동아헬스,"서울특별시 동대문구 답십리로60길 134, 상가동 4층 (답십리동, 동아아파트)"
HERO GYM,"서울특별시 관악구 행운2길 52, B01호 (봉천동)"
동천재활체육센터,서울특별시 노원구 노원로18길 41 (하계동)
서울레저프라자(주),서울특별시 성북구 길음로7길 36-12  (길음동)
헬싱타운,"서울특별시 서초구 남부순환로 2636 (양재동,성문빌딩 지1층)"
헬스장,서울특별시 도봉구 도봉로181길 60-9  (도봉동)
도봉헬스클럽,서울특별시 도봉구 도봉산3길 50 (도봉동)
아크로짐,"서울특별시 강북구 솔샘로 223, 제일은행삼양동지점 5층 (미아동)"
대원헬스,"서울특별시 광진구 면목로 161 (중곡동, 중곡빌딩)"
휴먼휘트니스클럽,서울특별시 도봉구 도당로13길 8 (방학동)
골든몽키짐(GYM),"서울특별시 동대문구 무학로 100, 2층 (용두동)"
월드스포츠센터,월드스포츠센터
대한퍼스널트레이닝,"서울특별시 서초구 사평대로55길 139  (반포동,미성빌딩4층)"
디자인휘트니스,디자인휘트니스
한마음(125),"서울특별시 강남구 삼성로 352 (대치동,창진빌딩 7층)"
문정1호점 스포애니 (주)케이디스포츠,"서울특별시 송파구 동남로 119 (가락동, 삼광빌딩)"
JM휘트니스클럽,"서울특별시 성북구 동소문로 248 (길음동,삼부(아) 105동 제2층 2,3,4호)"
프라임헬스클럽,"서울특별시 광진구 아차산로 453  (구의동,(4층))"
슈트짐(SUIT GYM),"서울특별시 동작구 만양로 84, 2층 223~227호 (노량진동, 삼익프라자)"
비너스헬스,"서울특별시 동대문구 홍릉로 37  (청량리동,2층)"
유휘트니스(123),서울특별시 강남구 압구정로 113  (압구정동)
피렉스휘트니스센터,"서울특별시 동작구 상도로 96, 2층 (상도동)"
탑 헬스클럽,서울특별시 강동구 양재대로 1535 (천호동)
옵티마 헬스,"서울특별시 은평구 연서로29길 34, 4층 (갈현동)"
세방헬스클럽,"서울특별시 중랑구 면목로37길 17, 세방사우나 4층 (면목동)"
알통맨 휘트니스크럽(119),서울특별시 강남구 논현로 80 (개포동)
서교휘트니스,"서울특별시 마포구 잔다리로 78, 지하1층 (서교동)"
머슬톡 휘트니스,"서울특별시 노원구 광운로 52, 2층 (월계동)"
휘트니스엠 마포점,"서울특별시 마포구 마포대로 33 (도화동, 한화오벨리스크 지하1층 142호)"
휘트니스에프엠 교대점,"서울특별시 서초구 서초대로 314 (서초동,지1층)"
헬스GXPT스피닝,헬스GXPT스피닝
기쁜우리체육센터,"서울특별시 강서구 허준로 65  (가양동,기쁜우리체육센터 4층)"
굿모닝 휘트니스,서울특별시 양천구 목동동로12길 42 (신정동)
가양스포츠클럽,"서울특별시 강서구 강서로 505  (가양동,3층)"
